#radius total type_0_0 type_0_1 type_0_2 type_0_3
0.53250 0.00060 0.00704 0.00000 0.00000 0.00000
0.54750 0.00063 0.00744 0.00000 0.00000 0.00000
0.56250 0.00054 0.00631 0.00000 0.00000 0.00000
0.57750 0.00030 0.00352 0.00000 0.00000 0.00000
0.59250 0.00026 0.00301 0.00000 0.00000 0.00000
0.60750 0.00032 0.00381 0.00000 0.00000 0.00000
0.62250 0.00031 0.00364 0.00000 0.00000 0.00000
0.63750 0.00034 0.00404 0.00000 0.00000 0.00000
0.65250 0.00026 0.00303 0.00000 0.00000 0.00000
0.66750 0.00020 0.00237 0.00000 0.00000 0.00000
0.68250 0.00009 0.00101 0.00000 0.00000 0.00000
0.69750 0.00006 0.00072 0.00000 0.00000 0.00000
0.71250 0.00004 0.00046 0.00000 0.00000 0.00000
0.72750 0.00004 0.00044 0.00000 0.00000 0.00000
0.74250 0.00002 0.00021 0.00000 0.00000 0.00000
0.75750 0.00002 0.00020 0.00000 0.00000 0.00000
0.77250 0.00000 0.00000 0.00000 0.00000 0.00000
0.78750 0.00000 0.00000 0.00000 0.00000 0.00000
0.80250 0.00000 0.00000 0.00000 0.00000 0.00000
0.81750 0.00000 0.00000 0.00000 0.00000 0.00000
0.83250 0.00000 0.00000 0.00000 0.00000 0.00000
0.84750 0.00000 0.00000 0.00000 0.00000 0.00000
0.86250 0.00000 0.00000 0.00000 0.00000 0.00000
0.87750 0.00000 0.00000 0.00000 0.00000 0.00000
0.89250 0.00000 0.00000 0.00000 0.00000 0.00000
0.90750 0.00000 0.00000 0.00000 0.00000 0.00000
0.92250 0.00000 0.00000 0.00000 0.00000 0.00000
0.93750 0.00000 0.00000 0.00000 0.00000 0.00000
0.95250 0.00000 0.00000 0.00000 0.00000 0.00000
0.96750 0.00000 0.00000 0.00000 0.00000 0.00000
0.98250 0.00000 0.00000 0.00000 0.00000 0.00000
0.99750 0.00000 0.00000 0.00000 0.00000 0.00000
1.01250 0.00000 0.00000 0.00000 0.00000 0.00000
1.02750 0.00000 0.00000 0.00000 0.00000 0.00000
1.04250 0.00000 0.00000 0.00000 0.00000 0.00000
1.05750 0.00000 0.00000 0.00000 0.00000 0.00000
1.07250 0.00000 0.00000 0.00000 0.00000 0.00000
1.08750 0.00000 0.00000 0.00000 0.00000 0.00000
1.10250 0.00000 0.00000 0.00000 0.00000 0.00000
1.11750 0.00000 0.00000 0.00000 0.00000 0.00000
1.13250 0.00000 0.00000 0.00000 0.00000 0.00000
1.14750 0.00000 0.00000 0.00000 0.00000 0.00000
1.16250 0.00000 0.00000 0.00000 0.00000 0.00000
1.17750 0.00000 0.00000 0.00000 0.00000 0.00000
1.19250 0.00000 0.00000 0.00000 0.00000 0.00000
1.20750 0.00000 0.00000 0.00000 0.00000 0.00000
1.22250 0.00000 0.00000 0.00000 0.00000 0.00000
1.23750 0.00000 0.00000 0.00000 0.00000 0.00000
1.25250 0.00000 0.00000 0.00000 0.00000 0.00000
1.26750 0.00000 0.00000 0.00000 0.00000 0.00000
1.28250 0.00000 0.00000 0.00000 0.00000 0.00000
1.29750 0.00000 0.00000 0.00000 0.00000 0.00000
1.31250 0.00000 0.00000 0.00000 0.00000 0.00000
1.32750 0.00000 0.00000 0.00000 0.00000 0.00000
1.34250 0.00000 0.00000 0.00000 0.00000 0.00000
1.35750 0.00000 0.00000 0.00000 0.00000 0.00000
1.37250 0.00000 0.00000 0.00000 0.00000 0.00000
1.38750 0.00000 0.00000 0.00000 0.00000 0.00000
1.40250 0.00000 0.00000 0.00000 0.00000 0.00000
1.41750 0.00000 0.00000 0.00000 0.00000 0.00000
1.43250 0.00000 0.00000 0.00000 0.00000 0.00000
1.44750 0.00000 0.00000 0.00000 0.00000 0.00002
1.46250 0.00002 0.00000 0.00000 0.00000 0.00008
1.47750 0.00003 0.00000 0.00000 0.00000 0.00009
1.49250 0.00007 0.00000 0.00000 0.00000 0.00023
1.50750 0.00021 0.00000 0.00000 0.00000 0.00072
1.52250 0.00046 0.00000 0.00000 0.00000 0.00157
1.53750 0.00096 0.00000 0.00000 0.00000 0.00330
1.55250 0.00187 0.00000 0.00000 0.00000 0.00642
1.56750 0.00395 0.00000 0.00000 0.00000 0.01355
1.58250 0.00781 0.00005 0.00000 0.00000 0.02675
1.59750 0.01346 0.00000 0.00000 0.00000 0.04614
1.61250 0.02367 0.00000 0.00000 0.00000 0.08114
1.62750 0.03853 0.00000 0.00000 0.00000 0.13210
1.64250 0.06015 0.00000 0.00000 0.00000 0.20623
1.65750 0.08924 0.00004 0.00000 0.00000 0.30596
1.67250 0.12782 0.00013 0.00000 0.00000 0.43822
1.68750 0.17856 0.00008 0.00000 0.00000 0.61218
1.70250 0.23867 0.00012 0.00000 0.00000 0.81827
1.71750 0.30884 0.00032 0.00000 0.00000 1.05879
1.73250 0.38595 0.00043 0.00000 0.00000 1.32312
1.74750 0.47069 0.00065 0.00000 0.00000 1.61362
1.76250 0.55811 0.00079 0.00000 0.00000 1.91327
1.77750 0.64887 0.00189 0.00000 0.00000 2.22405
1.79250 0.73198 0.00226 0.00000 0.00000 2.50871
1.80750 0.81773 0.00266 0.00000 0.00000 2.80219
1.82250 0.88872 0.00427 0.00000 0.00000 3.04377
1.83750 0.95103 0.00626 0.00000 0.00000 3.25263
1.85250 1.00691 0.00824 0.00000 0.00000 3.43565
1.86750 1.04962 0.01191 0.00000 0.00000 3.56434
1.88250 1.08844 0.01573 0.00000 0.00000 3.66354
1.89750 1.12128 0.02099 0.00000 0.00000 3.71920
1.91250 1.15559 0.02750 0.00000 0.00000 3.74563
1.92750 1.19570 0.03557 0.00000 0.00000 3.74684
1.94250 1.23306 0.04619 0.00000 0.00000 3.69157
1.95750 1.28627 0.05941 0.00000 0.00000 3.63741
